,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Rice,15-10-2021,46.00,Metric Tonnes,3770.00,Rs./Quintal
Maharashtra,Cereals,Rice,16-10-2021,222.00,Metric Tonnes,3875.34,Rs./Quintal
Maharashtra,Cereals,Rice,17-10-2021,13.00,Metric Tonnes,4230.77,Rs./Quintal
Maharashtra,Cereals,Rice,18-10-2021,209.00,Metric Tonnes,3639.29,Rs./Quintal
Maharashtra,Cereals,Rice,19-10-2021,110.00,Metric Tonnes,3659.60,Rs./Quintal
Maharashtra,Cereals,Rice,20-10-2021,221.00,Metric Tonnes,3801.52,Rs./Quintal
Maharashtra,Cereals,Rice,21-10-2021,371.00,Metric Tonnes,3881.15,Rs./Quintal
Maharashtra,Cereals,Rice,22-10-2021,255.00,Metric Tonnes,3211.69,Rs./Quintal
Maharashtra,Cereals,Rice,23-10-2021,336.00,Metric Tonnes,3672.10,Rs./Quintal
Maharashtra,Cereals,Rice,24-10-2021,20.00,Metric Tonnes,4850.65,Rs./Quintal
Maharashtra,Cereals,Rice,25-10-2021,187.00,Metric Tonnes,3618.77,Rs./Quintal
Maharashtra,Cereals,Rice,26-10-2021,276.00,Metric Tonnes,3275.97,Rs./Quintal
Maharashtra,Cereals,Rice,27-10-2021,1494.00,Metric Tonnes,4396.88,Rs./Quintal
Maharashtra,Cereals,Rice,28-10-2021,213.00,Metric Tonnes,3528.83,Rs./Quintal
Maharashtra,Cereals,Rice,29-10-2021,212.00,Metric Tonnes,3206.96,Rs./Quintal
Maharashtra,Cereals,Rice,30-10-2021,295.00,Metric Tonnes,3630.68,Rs./Quintal
Maharashtra,Cereals,Rice,31-10-2021,12.00,Metric Tonnes,4183.92,Rs./Quintal
Maharashtra,Cereals,Rice,01-11-2021,140.00,Metric Tonnes,3129.46,Rs./Quintal
Maharashtra,Cereals,Rice,02-11-2021,189.00,Metric Tonnes,3611.19,Rs./Quintal
Maharashtra,Cereals,Rice,03-11-2021,218.00,Metric Tonnes,2954.13,Rs./Quintal
Maharashtra,Cereals,Rice,04-11-2021,14.00,Metric Tonnes,4514.29,Rs./Quintal
Maharashtra,Cereals,Rice,05-11-2021,1915.00,Metric Tonnes,4496.50,Rs./Quintal
Maharashtra,Cereals,Rice,06-11-2021,35.00,Metric Tonnes,4714.29,Rs./Quintal
Maharashtra,Cereals,Rice,07-11-2021,12.00,Metric Tonnes,3300.00,Rs./Quintal
Maharashtra,Cereals,Rice,08-11-2021,266.00,Metric Tonnes,3222.65,Rs./Quintal
Maharashtra,Cereals,Rice,09-11-2021,3409.00,Metric Tonnes,4443.42,Rs./Quintal
Maharashtra,Cereals,Rice,10-11-2021,278.00,Metric Tonnes,3289.68,Rs./Quintal
Maharashtra,Cereals,Rice,11-11-2021,380.00,Metric Tonnes,4007.30,Rs./Quintal
Maharashtra,Cereals,Rice,12-11-2021,286.00,Metric Tonnes,3235.68,Rs./Quintal
Maharashtra,Cereals,Rice,13-11-2021,250.00,Metric Tonnes,3527.89,Rs./Quintal
Maharashtra,Cereals,Rice,14-11-2021,14.00,Metric Tonnes,3824.00,Rs./Quintal
Maharashtra,Cereals,Rice,15-11-2021,336.00,Metric Tonnes,3082.49,Rs./Quintal
Maharashtra,Cereals,Rice,16-11-2021,2626.00,Metric Tonnes,4420.15,Rs./Quintal
Maharashtra,Cereals,Rice,17-11-2021,407.00,Metric Tonnes,2893.95,Rs./Quintal
Maharashtra,Cereals,Rice,18-11-2021,284.00,Metric Tonnes,3502.76,Rs./Quintal
Maharashtra,Cereals,Rice,19-11-2021,168.00,Metric Tonnes,3339.87,Rs./Quintal
Maharashtra,Cereals,Rice,20-11-2021,318.00,Metric Tonnes,3547.64,Rs./Quintal
Maharashtra,Cereals,Rice,21-11-2021,22.00,Metric Tonnes,4563.64,Rs./Quintal
Maharashtra,Cereals,Rice,22-11-2021,248.00,Metric Tonnes,3169.54,Rs./Quintal
Maharashtra,Cereals,Rice,23-11-2021,303.00,Metric Tonnes,3358.66,Rs./Quintal
Maharashtra,Cereals,Rice,24-11-2021,274.00,Metric Tonnes,3811.24,Rs./Quintal
Maharashtra,Cereals,Rice,25-11-2021,314.00,Metric Tonnes,3442.56,Rs./Quintal
Maharashtra,Cereals,Rice,26-11-2021,269.00,Metric Tonnes,3391.43,Rs./Quintal
Maharashtra,Cereals,Rice,27-11-2021,292.00,Metric Tonnes,3433.03,Rs./Quintal
Maharashtra,Cereals,Rice,28-11-2021,54.00,Metric Tonnes,3498.61,Rs./Quintal
